,favorites,retweets,tweets
32,76664,21048,House Intelligence Committee votes to release final report. FINDINGS: (1) No evidence provided of Collusion between… https://t.co/TDzrvtLstr
33,95376,24245,"I am pleased to announce that, effective 4/9/18, @AmbJohnBolton will be my new National Security Advisor. I am very… https://t.co/dlRJSb9xW1"
34,49247,10797,My honor Charlie - thank you! #MAGA https://t.co/ZbXFxNVMLP
35,66904,15680,"As a candidate, I pledged that if elected I would use every lawful tool to combat unfair trade, protect American wo… https://t.co/nzeHdbTa5u"
36,94195,20338,"Remember when they were saying, during the campaign, that Donald Trump is giving great speeches and drawing big cro… https://t.co/tmNjLRpLXI"
37,257269,75997,"Crazy Joe Biden is trying to act like a tough guy. Actually, he is weak, both mentally and physically, and yet he t… https://t.co/4e33ZxnAw7"
38,82268,18296,"Democrats refused to take care of DACA. Would have been so easy, but they just didn’t care. I had to fight for Military and start of Wall."
39,108806,24779,"Got $1.6 Billion to start Wall on Southern Border, rest will be forthcoming. Most importantly, got $700 Billion to… https://t.co/0uCYCqGbgf"
40,84930,20093,".....They can help solve problems with North Korea, Syria, Ukraine, ISIS, Iran and even the coming Arms Race. Bush… https://t.co/hrZ6vrJjVC"
41,130704,29916,"I called President Putin of Russia to congratulate him on his election victory (in past, Obama called him also). Th… https://t.co/GZNDtLqkop"
42,78081,18701,"“Special Council is told to find crimes, whether a crime exists or not. I was opposed to the selection of Mueller t… https://t.co/KYsOPqiVBG"
43,83228,19990,"...there was no probable cause for believing that there was any crime, collusion or otherwise, or obstruction of ju… https://t.co/zZFkhcS0jf"
44,59621,14849,Department of Justice should have urged the Supreme Court to at least hear the Drivers License case on illegal immi… https://t.co/tEaYQ9In3t
45,136772,26765,AUSTIN BOMBING SUSPECT IS DEAD. Great job by law enforcement and all concerned!
46,140468,33945,Our Nation was founded by farmers. Our independence was won by farmers. And our continent was tamed by farmers. Our… https://t.co/UsFIoGflhu
47,99018,22008,The Democrats do not want to help DACA. Would be so easy to make a deal!
48,110844,24781,A total WITCH HUNT with massive conflicts of interest!
49,49834,7993,.@seanhannity on @foxandfriends now! Great! 8:18 A.M.
50,125986,33393,"Why does the Mueller team have 13 hardened Democrats, some big Crooked Hillary supporters, and Zero Republicans? An… https://t.co/wKNAVhWJcz"
51,130048,31720,"Spent very little time with Andrew McCabe, but he never took notes when he was with me. I don’t believe he made mem… https://t.co/O4fdG6P0sN"
52,102065,27452,"Wow, watch Comey lie under oath to Senator G when asked “have you ever been an anonymous source...or known someone… https://t.co/2GxHCPXrJ3"
53,104122,29498,The Mueller probe should never have been started in that there was no collusion and there was no crime. It was base… https://t.co/oMCKEA7WmJ
54,143145,39329,"The Fake News is beside themselves that McCabe was caught, called out and fired. How many hundreds of thousands of… https://t.co/09lMF1jNHk"
55,115797,31785,"As the House Intelligence Committee has concluded, there was no collusion between Russia and the Trump Campaign. As… https://t.co/BF4giONbVG"
56,94373,17269,Happy #StPatricksDay https://t.co/4vVsW2smhB
57,165269,48062,"Andrew McCabe FIRED, a great day for the hard working men and women of the FBI - A great day for Democracy. Sanctim… https://t.co/Cz8RmnXjLC"
58,66192,15691,“U.S. Consumer Confidence Hits 14-Year High” https://t.co/tXJsSRoM64
59,71829,15333,"It would be great for the Republican Party of Nevada, and it’s unity if good guy Danny Tarkanian would run for Cong… https://t.co/QyWFYavmnS"
60,114078,21765,Our thoughts and prayers go out to the families and loved ones of the brave troops lost in the helicopter crash on… https://t.co/lNSNRvUa22
61,58630,12390,“President Donald J. Trump Delivers Remarks at the Shamrock☘️Bowl Presentation by Prime Minister Varadkar in the Ea… https://t.co/o7DliOumDx
62,108390,19496,Continuing to monitor the heartbreaking bridge collapse at FIU - so tragic. Many brave First Responders rushed in t… https://t.co/vGKt6pSST9
63,61385,10577,It was my honor to welcome Prime Minister Leo Varadkar of Ireland to the @WhiteHouse! https://t.co/ZT3WnIZR2L
64,79435,17124,"We do have a Trade Deficit with Canada, as we do with almost all countries (some of them massive). P.M. Justin Trud… https://t.co/xSKFD5YNYm"
65,81372,17574,Larry Kudlow will be my Chief Economic Advisor as Director of the National Economic Council. Our Country will have… https://t.co/uBMM8fsmL8
66,67439,15129,"Please join me with your thoughts and prayers for both aviators, their families and our incredible @USNavy. https://t.co/60bHhrp8Y1"
67,66982,14693,It was wonderful to be back in Missouri where our push for historic TAX CUTS all began. Six months ago I promised t… https://t.co/33TxKS2pTe
68,68606,14041,"Together, we are MAKING AMERICA GREAT AGAIN! https://t.co/CUutL5SZxQ"
69,93433,20268,Today the House took major steps toward securing our schools by passing the STOP School Violence Act. We must put t… https://t.co/7rZrpbvgjj
70,38417,7377,Thank you for hosting! #MAGA https://t.co/9pHH60DVlX
71,84453,16285,We cannot keep a blind eye to the rampant unfair trade practices against our Country!
72,56062,12554,Five of our incredible @Cabinet Secretaries are testifying on the Hill this morning on the need to rebuild our Nati… https://t.co/3AXqETfEXJ
73,73485,13794,Perhaps at no time in history have the business fundamentals of U.S. companies been better than they are today!
74,90848,26193,"Hundreds of good people, including very important Ambassadors and Judges, are being blocked and/or slow walked by t… https://t.co/ck2Ig9AZvs"
75,84324,19154,"All across this nation, we pray for our country and we THANK GOD for our United States Marines! Thank you. God Bles… https://t.co/mJpNt7HhzF"
76,72755,15711,"It was my great honor to deliver a message at the Marine Corps Air Station Miramar to our GREAT U.S. Military, stra… https://t.co/O0lrIsBwu6"
77,95323,26169,"If we don’t have a wall system, we’re not going to have a country. Congress must fund the BORDER WALL &amp; prohibit gr… https://t.co/0TfovosPwS"
78,126183,33116,California’s sanctuary policies are illegal and unconstitutional and put the safety and security of our entire nati… https://t.co/zaPkbqbRDM
79,69854,20386,"“According to the Center for Immigration Studies, the $18 billion wall will pay for itself by curbing the importati… https://t.co/aNllS0s4IC"
80,87119,17020,Heading to see the BORDER WALL prototypes in California! https://t.co/fU6Ukc271l
81,123385,41233,"Mike Pompeo, Director of the CIA, will become our new Secretary of State. He will do a fantastic job! Thank you to… https://t.co/bQrfIvM6iT"
82,75964,17172,"The Economy is raging, at an all time high, and is set to get even better. Jobs and wages up. Vote for Rick Saccone and keep it going!"
83,161833,45230,"THE HOUSE INTELLIGENCE COMMITTEE HAS, AFTER A 14 MONTH LONG IN-DEPTH INVESTIGATION, FOUND NO EVIDENCE OF COLLUSION… https://t.co/cdRy6HvVZS"
84,75714,14831,It was my great honor to welcome the 2017 World Series Champion Houston @Astros to the @WhiteHouse! #HoustonStrong https://t.co/IO6B42jixA
85,50942,13067,The Pittsburgh Post Gazette just endorsed Rick Saccone for Congress. He will be much better for steel and business.… https://t.co/ZCmxt9gOQS
86,79185,18631,"If schools are mandated to be gun free zones, violence and danger are given an open invitation to enter. Almost all… https://t.co/rGdwQ3lSQA"
87,55858,11077,"....On 18 to 21 Age Limits, watching court cases and rulings before acting. States are making this decision. Things… https://t.co/wqQ3l47UpO"
88,81820,17232,Very strong improvement and strengthening of background checks will be fully backed by White House. Legislation mov… https://t.co/sfQ0zx9e3h
89,67693,15493,Secretary of Commerce Wilbur Ross will be speaking with representatives of the European Union about eliminating the… https://t.co/qxjJLdFpzd
90,106733,24975,"Rasmussen and others have my approval ratings at around 50%, which is higher than Obama, and yet the political pund… https://t.co/x6MUw9P9sQ"
91,92321,25090,The Democrats continue to Obstruct the confirmation of hundreds of good and talented people who are needed to run o… https://t.co/AVCxZlPVIJ
92,78306,18479,"The Republicans are 5-0 in recent Congressional races, a point which the Fake News Media continuously fails to ment… https://t.co/JJuFpuSHyx"
93,85816,20012,...have shown conclusively that there was no Collusion with Russia..just excuse for losing. The only Collusion was… https://t.co/ya2CwP1iUd
94,91982,21129,The Failing New York Times purposely wrote a false story stating that I am unhappy with my legal team on the Russia… https://t.co/LPBOjSP2LR
95,73229,19197,"Epic crowd in Moon Township, Pennsylvania tonight. Thank you! Get out on Tuesday and VOTE for Rick @Saccone4PA18. T… https://t.co/WymRPli25F"
96,42834,7697,"Join me LIVE in Moon Township, Pennsylvania at 7:00pmE. Great crowd for a #MAGA rally!
https://t.co/PYJNg0WGDL"
97,100152,24240,"The European Union, wonderful countries who treat the U.S. very badly on trade, are complaining about the tariffs o… https://t.co/yNB0RtRciL"
98,89725,21674,In the first hours after hearing that North Korea’s leader wanted to meet with me to talk denuclearization and that… https://t.co/A3376MpW3r
99,90697,18034,"North Korea has not conducted a Missile Test since November 28, 2017 and has promised not to do so through our meet… https://t.co/Ht46GE3Pfy"
100,63980,13869,"Heading to Moon Township, Pennsylvania, to be with a really good person, State Representative Rick Saccone, who is… https://t.co/PKlU2Qxkxr"
101,72655,16912,"Spoke to Prime Minister Abe of Japan, who is very enthusiastic about talks with North Korea. Also discussing openin… https://t.co/nkhscNpa1c"
102,91602,19185,Chinese President XI JINPING and I spoke at length about the meeting with KIM JONG UN of North Korea. President XI… https://t.co/dlSO7SlUID
103,86360,18781,"Congratulations to Kristian Saucier, a man who has served proudly in the Navy, on your newly found Freedom. Now you… https://t.co/GZwwILcMPd"
104,75549,14123,We are deeply saddened by the tragic situation in Yountville and mourn the loss of three incredible women who cared for our Veterans.
105,126387,27138,"The deal with North Korea is very much in the making and will be, if completed, a very good one for the World. Time… https://t.co/7vZGmZtsYL"
106,78772,17389,Spoke to PM @TurnbullMalcolm of Australia. He is committed to having a very fair and reciprocal military and trade… https://t.co/HTGkP7vcyw
107,54843,13198,"That’s right @RepBost! Thank you for your support in helping put America back to work. It’s about JOBS, JOBS, JOBS… https://t.co/5WKHqkpAj9"
108,54267,12514,Look forward to being in Pennsylvania tomorrow in support of Rick @Saccone4PA18. Big crowd expected in Moon Townshi… https://t.co/AJaYw4PstI
109,71531,18372,"JOBS, JOBS, JOBS! #MAGA https://t.co/YAaqRcA7ZS"
110,174236,45662,"Kim Jong Un talked about denuclearization with the South Korean Representatives, not just a freeze. Also, no missil… https://t.co/ZLg0zRZ976"
111,53042,12366,"“Presidential Proclamation on Adjusting Imports of Aluminum into the United States” 
 
Proclamation:… https://t.co/2GahSEcox6"
112,43817,9530,"“Presidential Proclamation on Adjusting Imports of Steel into the United States”
 
Proclamation:… https://t.co/hQNfSTdFS2"
113,48181,9255,Great meeting with @Cabinet at the @WhiteHouse today! #MAGA https://t.co/InWj0QTosz
114,58544,11932,"Happy #InternationalWomensDay

“First Lady Melania Trump to Present the 2018 International Women of Courage Award” https://t.co/EwYtFXGvn2"
115,92986,19192,Looking forward to 3:30 P.M. meeting today at the White House. We have to protect &amp; build our Steel and Aluminum In… https://t.co/TOvuYY0vmd
116,95500,19599,The U.S. is acting swiftly on Intellectual Property theft. We cannot allow this to happen as it has for many years!
117,86565,18919,China has been asked to develop a plan for the year of a One Billion Dollar reduction in their massive Trade Defici… https://t.co/D2TzeyTmqX
118,128852,35807,"From Bush 1 to present, our Country has lost more than 55,000 factories, 6,000,000 manufacturing jobs and accumulat… https://t.co/PqL7IA75c4"
119,2785,1198,"@MarkBurnettTV @RealRomaDowney From Bush 1 to present, our Country has lost more than 55,000 factories, 6,000,000 m… https://t.co/ZWsYQugFPk"
120,38229,7520,"Great couple, great book! https://t.co/cLDI79rin8"
121,87456,16544,Will be making a decision soon on the appointment of new Chief Economic Advisor. Many people wanting the job - will choose wisely!
122,122364,27822,"Possible progress being made in talks with North Korea. For the first time in many years, a serious effort is being… https://t.co/17I9VFMLrI"
123,85595,22620,Federal Judge in Maryland has just ruled that “President Trump has the right to end DACA.” President Obama had 8 ye… https://t.co/Coh1fflMxK
124,213182,59361,"Lowest rated Oscars in HISTORY. Problem is, we don’t have Stars anymore - except your President (just kidding, of course)!"
125,39262,9890,We will see what happens! https://t.co/Y1qxoAUfd9
126,52977,13010,We are getting it done - jobs and security! https://t.co/Ui8bubj7Yr
127,72432,15364,Total inaction on DACA by Dems. Where are you? A deal can be made!
128,97911,22736,"The new Fake News narrative is that there is CHAOS in the White House. Wrong! People will always come &amp; go, and I w… https://t.co/gZx40h1psF"
129,114009,29899,"It’s March 5th and the Democrats are nowhere to be found on DACA. Gave them 6 months, they just don’t care. Where a… https://t.co/VuCAvyGCb7"
130,131166,39071,Why did the Obama Administration start an investigation into the Trump Campaign (with zero proof of wrongdoing) lon… https://t.co/YyfQtgZMpn
131,83884,17417,To protect our Country we must protect American Steel! #AMERICA FIRST
132,85957,18111,...treat our farmers much better. Highly restrictive. Mexico must do much more on stopping drugs from pouring into… https://t.co/7Bmn1xy747
133,82148,19292,"We have large trade deficits with Mexico and Canada. NAFTA, which is under renegotiation right now, has been a bad… https://t.co/SdLj0DaHLu"
134,117588,26569,We are on the losing side of almost all trade deals. Our friends and enemies have taken advantage of the U.S. for m… https://t.co/kTZHwXqeMy
135,102139,19915,The Gridiron Dinner last night was great fun. I am accomplishing a lot in Washington and have never had a better ti… https://t.co/BZHVReTuYi
136,124644,30812,If the E.U. wants to further increase their already massive tariffs and barriers on U.S. companies doing business t… https://t.co/taytTlApWc
137,130076,31003,The United States has an $800 Billion Dollar Yearly Trade Deficit because of our “very stupid” trade deals and poli… https://t.co/nFF3vEmRmY
138,74641,20568,Mainstream Media in U.S. is being mocked all over the world. They’ve gone CRAZY! https://t.co/4UGYuJpUA7
139,94463,21838,Happy National Anthem Day! https://t.co/cf1eugMbKU
140,112174,22372,REST IN PEACE BILLY GRAHAM! https://t.co/2qMoUccVC2
141,123988,31037,"When a country Taxes our products coming in at, say, 50%, and we Tax the same product coming into our country at ZE… https://t.co/UFVLaWepzN"
142,104037,21979,"We must protect our country and our workers. Our steel industry is in bad shape. IF YOU DON’T HAVE STEEL, YOU DON’T HAVE A COUNTRY!"
143,54671,12008,"Eric, we are all with you and your family! Look forward to seeing you back on T.V. https://t.co/d6y3Q00BSy"
144,141051,28703,"Alec Baldwin, whose dying mediocre career was saved by his terrible impersonation of me on SNL, now says playing me… https://t.co/Ntuy4BRXmJ"
145,100773,22719,When a country (USA) is losing many billions of dollars on trade with virtually every country it does business with… https://t.co/lPSkkolNRP
146,93947,17436,Good (Great) meeting in the Oval Office tonight with the NRA!
147,75765,14780,Manufacturing growing at the fastest pace in almost two decades!
148,76073,15216,Jobless claims at a 49 year low!
149,51961,11814,"Together, we will face this challenge as a national family with conviction, with unity, and with a commitment to lo… https://t.co/7sw39LHddj"
150,47177,10653,“Consumer Confidence in February Highest Since November 2000” https://t.co/UgAJRawExx
151,48859,11442,“Manufacturing in U.S. Expands at Fastest Pace Since May 2004” https://t.co/XZkwS8tTml
152,59329,15061,"Unemployment filings are at their lowest level in over 48 years. Great news for workers and JOBS, JOBS, JOBS! #MAGA https://t.co/SzHTarzfrW"
153,103773,22768,Our Steel and Aluminum industries (and many others) have been decimated by decades of unfair trade and bad policy w… https://t.co/OEgFJVYtCs
154,79621,17394,"Many ideas, some good &amp; some not so good, emerged from our bipartisan meeting on school safety yesterday at the Whi… https://t.co/aJ2m3fH3y3"
155,53647,11730,It was an honor to welcome bipartisan members of Congress for a discussion on SAFE schools and SAFE communities. As… https://t.co/EPB1EN3HRc
156,73092,17302,"Today we honor Billy Graham as only three private citizens before him have been honored. 

We say a prayer for our… https://t.co/CbrnqFwUuZ"
157,66695,14383,"Starting at a small Bible School in Florida, Billy Graham soon led a nationwide revival. From a large tent in Los A… https://t.co/rhhuOssGmf"
158,75103,17627,"Today, in the center of this great Chamber lies Billy Graham – an Ambassador for Christ who reminded the world of t… https://t.co/1pVcsV0cam"
159,90325,25443,Why is A.G. Jeff Sessions asking the Inspector General to investigate potentially massive FISA abuse. Will take for… https://t.co/3tKywTn98g
160,112361,21013,45 year low on illegal border crossings this year. Ice and Border Patrol Agents are doing a great job for our Count… https://t.co/Q6WZdxvUjS
161,101412,22388,I have decided that sections of the Wall that California wants built NOW will not be built until the whole Wall is… https://t.co/Vz6U6uS0Za
162,94692,23639,"The Heritage Foundation has just stated that 64% of the Trump Agenda is already done, faster than even Ronald Reaga… https://t.co/MxsE3dtLnd"
163,100686,23651,Big legal win today. U.S. judge sided with the Trump Administration and rejected the attempt to stop the government… https://t.co/zxoD3cKbaA
164,71237,17009,"Such a beautiful map, thank you! https://t.co/FyQdgKvsRO"
165,50527,12151,.@SenatorWicker of Mississippi has been a great supporter and incredible help in getting our massive Tax Cut Bill d… https://t.co/NZAavAxY2F
166,65307,15552,"Texas LC George P. Bush backed me when it wasn’t the politically correct thing to do, and I back him now. Also, AC… https://t.co/6YdVjdovKe"
167,57950,13549,“American consumers are the most confident they've been since 2000....A strong job market is boosting confidence. T… https://t.co/jabPYi1Opc
168,106280,29347,"I want to encourage all of my many Texas friends to vote in the primary for Governor Greg Abbott, Senator Ted Cruz,… https://t.co/hhYhBC3fk8"
169,94227,24164,WITCH HUNT!
170,92683,23499,"“We’ve seen NO EVIDENCE OF COLLUSION....I have seen nothing, the firing of James Comey and all of the aftermath, th… https://t.co/smYiwXrZnh"
171,65545,14798,“I’ve been skeptical about the collusion and obstruction claims for the last year. I just don’t see the evidence...… https://t.co/wUxgVpVTIN
172,69398,19678,“He’s got a very good point. Somebody in the Justice Department has a treasure trove of evidence of Mrs. Clinton’s… https://t.co/IpmARu0gyP
173,50117,8646,I will be interviewed by @JudgeJeanine on @FoxNews at 9:00 P.M. Enjoy!
174,77067,19555,"“Congressman Schiff omitted and distorted key facts” @FoxNews  So, what else is new. He is a total phony!"
175,74073,19369,"“Russians had no compromising information on Donald Trump” @FoxNews  Of course not, because there is none, and neve… https://t.co/R9sniNq1ar"
176,80383,21835,Dem Memo: FBI did not disclose who the clients were - the Clinton Campaign and the DNC. Wow!
177,83073,20811,The Democrat memo response on government surveillance abuses is a total political and legal BUST. Just confirms all… https://t.co/7xFWbPQ5Xh
178,99805,25485,BIG CPAC STRAW POLL RESULTS: 93% APPROVE OF THE JOB PRESIDENT TRUMP IS DOING (Thank you!). 50% say President Trump… https://t.co/QavF7yVap4
179,94295,22583,"Dems are no longer talking DACA! “Out of sight, out of mind,” they say. DACA beneficiaries should not be happy. Nan… https://t.co/TZjolh9nkE"
180,74745,16070,Unemployment claims are at the lowest level since 1973. Much of this has to do with the massive cutting of unnecess… https://t.co/3W7uDjmtZJ
181,80378,22648,Democrat judges have totally redrawn election lines in the great State of Pennsylvania. @FoxNews. This is very unfa… https://t.co/uErhBXPwuM
182,86320,20861,Armed Educators (and trusted people who work within a school) love our students and will protect them. Very smart p… https://t.co/wQSlkyUTzh
183,81281,20484,"So true Wayne, and Lowest black unemployment in history! https://t.co/gDxxJdZQUm"
184,86992,15580,Thank you to the great men and women of the United States @SecretService for a job well done!
185,47669,8998,"Today, @FLOTUS Melania and I were honored to welcome Prime Minister @TurnbullMalcolm and Mrs. Turnbull of Australia… https://t.co/PeVPje9xba"
186,85847,20836,"Our nation’s motto is IN GOD WE TRUST. This week, our nation lost an incredible leader who devoted his life to help… https://t.co/gQzYg1Xq8r"
187,76979,18179,"We salute our great American flag, we put our hands on our hearts for the pledge of Allegiance, and we all PROUDLY… https://t.co/BoR8a2Kn29"
188,69580,15995,"After years of rebuilding OTHER nations, we are finally rebuilding OUR nation - and we are restoring our confidence… https://t.co/LXqvjEMR5D"
189,97882,24813,"For those of you who are still interested, the Democrats have totally forgotten about DACA. Not a lot of interest on this subject from them!"
190,98637,14490,"My daughter, Ivanka, just arrived in South Korea. We cannot have a better, or smarter, person representing our country."
191,47037,7811,CPAC Today!
192,125490,28320,"MS-13 gang members are being removed by our Great ICE and Border Patrol Agents by the thousands, but these killers… https://t.co/ktMXRRb97k"
193,112807,31807,“School shooting survivor says he quit @CNN Town Hall after refusing scripted question.” @TuckerCarlson. Just like… https://t.co/wDQm1urt9V
194,83208,18573,"Today, it was my great honor to host a School Safety Roundtable at the @WhiteHouse with State and local leaders, la… https://t.co/BtEV9OqmNJ"
195,103218,18258,"On behalf of an entire Nation, CONGRATULATIONS to the U.S. Women's Hockey Team on winning the GOLD! #GoTeamUSA… https://t.co/1dpsf8yqdq"
196,105905,19672,Will be meeting with Lawmakers today at 11:30 A.M. to discuss School Safety.  Next week it will be with our Nation’… https://t.co/USyL5x0ujR
197,92584,22702,"What many people don’t understand, or don’t want to understand, is that Wayne, Chris and the folks who work so hard… https://t.co/4I87uxDsqD"
198,186047,36932,I will be strongly pushing Comprehensive Background Checks with an emphasis on Mental Health. Raise age to 21 and e… https://t.co/5zKlGxnVTc
199,107014,25804,....If a potential “sicko shooter” knows that a school has a large number of very weapons talented teachers (and ot… https://t.co/NTnUcZxrle
200,125478,29681,"....History shows that a school shooting lasts, on average, 3 minutes. It takes police &amp; first responders approxima… https://t.co/v68k63he25"
201,102356,22560,....immediately fire back if a savage sicko came to a school with bad intentions. Highly trained teachers would als… https://t.co/wyg77QWPfn
202,88770,22517,I never said “give teachers guns” like was stated on Fake News @CNN &amp; @NBC. What I said was to look at the possibil… https://t.co/Tvi4fzLbCA
203,105659,23793,"I will always remember the time I spent today with courageous students, teachers and families. So much love in the… https://t.co/u8ZYPzhp2S"
204,83878,18271,.@FLOTUS Melania and I join millions of people around the world in mourning the passing of Billy Graham. Our prayer… https://t.co/Q8BrGTiHuP
205,74525,15145,"Yesterday, it was my great honor to recognize extraordinary Law Enforcement Officers and First Responders, and to a… https://t.co/PsfNaJrfEB"
206,116376,32493,"Question: If all of the Russian meddling took place during the Obama Administration, right up to January 20th, why… https://t.co/dquN8v8VwU"
207,150708,29856,The GREAT Billy Graham is dead. There was nobody like him! He will be missed by Christians and all religions. A very special man.
208,81616,16195,"@CNN @MSNBC Whether we are Republican or Democrat, we must now focus on strengthening Background Checks!"
209,98151,21953,"So true, thank you! https://t.co/9TTXlfokYz"
210,95377,22481,Bad ratings @CNN &amp; @MSNBC got scammed when they covered the anti-Trump Russia rally wall-to-wall. They probably kne… https://t.co/1s5PQaBe2g
211,74959,17581,"Main Street is BOOMING thanks to our incredible TAX CUT and Reform law. ""This shows small-business owners are more… https://t.co/gkJczuVCt6"
212,79434,19790,....cameras running. Another False Accusation. Why doesn’t @washingtonpost report the story of the women taking mon… https://t.co/OTpK1KLYOL
213,96668,21790,"A woman I don’t know and, to the best of my knowledge, never met, is on the FRONT PAGE of the Fake News Washington… https://t.co/lWlDMu6gxb"
214,78246,16314,"I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!"
215,79438,20312,"Hope Republicans in the Great State of Pennsylvania challenge the new “pushed” Congressional Map, all the way to th… https://t.co/bT190oQKpM"
216,51843,10218,Matt Schlapp and CPAC are getting ready for another exciting event. Big difference from those days when President O… https://t.co/KxKVJL0Bc4
217,82286,17227,"Republicans are now leading the Generic Poll, perhaps because of the popular Tax Cuts which the Dems want to take a… https://t.co/TQfyR96KP8"
218,85605,20784,....The President Obama quote just before election. That’s because he thought Crooked Hillary was going to win and… https://t.co/59Wli8q1pN
219,68058,17496,"“There is no serious person out there who would suggest somehow that you could even rig America’s elections, there’… https://t.co/eJ9M6A2H50"
220,66554,14728,Thank you to @foxandfriends for the great timeline on all of the failures the Obama Administration had against Russ… https://t.co/SI7CxX4a7C
221,68470,13315,"“The Faith of Donald Trump,” a book just out by David Brody and Scott Lamb, is a very interesting read. Enjoy!"
222,121012,25418,"The U.S. economy is looking very good, in my opinion, even better than anticipated. Companies are pouring back into… https://t.co/Sxweprvk7N"
223,55146,9443,.@MittRomney has announced he is running for the Senate from the wonderful State of Utah. He will make a great Sena… https://t.co/h1RaVb2OVj
224,91668,22375,"Obama was President up to, and beyond, the 2016 Election. So why didn’t he do something about Russian meddling?"
225,144697,24000,"Have a great, but very reflective, President’s Day!"
226,154213,34659,"Just watched a very insecure Oprah Winfrey, who at one point I knew very well, interview a panel of people on 60 Mi… https://t.co/7iuf59562i"
227,102418,15628,"My great friends from NASCAR are having their big race today, The Daytona 500. Brian France and the France family a… https://t.co/EWBOQxPW2S"
228,77758,18065,"Thank you to KenStarr, former Independent Counsel, Whitewater, for your insight and powerful words on FISA abuse, R… https://t.co/XGIgUkn3qK"
