,favorites,retweets,tweets
65,1340,328,"Friends: STACEY ABRAMS is one of the most passionate, articulate &amp; inspiring nerds I’ve ever met. She’s running for… https://t.co/pLUSdGWF5k"
66,719,56,Ran into Erika Alexander - on the day our GILES comic came out! WHAT ARE THE ODDS?!? Also she was in “Get Out” - WH… https://t.co/rGT9veUGps
67,185,15,Maybe I... I shouldn’t have dueted with Prince https://t.co/NapdqHcaKn
68,10,0,@EmanuelAvenged It’d probably be pretty lively
69,1065,162,"Supperating Plague Bubo

Relatives Visiting Indefinitely 

Tepid Borscht Smoothie

Antique Penis Grater

Nickelback… https://t.co/5ECuDVopQw"
70,1080,100,"Dozens of children gathered on the White House lawn, baskets in hand, waiting for the signal to begin, each hoping… https://t.co/cIC4gkFwQO"
71,285,22,The math: one @DLChamplin in “Crazy Ex-Girlfriend” + one @DLChamplin in “Another Period” =  one TV golden age… https://t.co/EphTB077td
72,65,0,"@mynameisntdave To be fair, I would see that"
73,14,0,@wilshipley I elled oh ell there thanks
74,2989,334,"For the record, i’m also very brave, i’m p sure i would have run up the side of the Nakatomi bldg &amp; stopped all tho… https://t.co/QCrKBhSOf1"
75,231,24,"Seeing Sarah Vowell &amp; Tony Kushner talk about Lincoln last night was informative, funny and surprisingly inspiring.… https://t.co/0WvPJF4wqn"
76,101,4,@_ElizabethMay I used to fantasize about a sequel that ended with him becoming a mer-guy to live in HER world (also… https://t.co/FP5C86vrBk
77,1219,660,"The NRA’s media arm, NRATV, uses dangerous rhetoric to spread fear so people will buy more guns.

Add your name to… https://t.co/28IZkruI6k"
78,3462,553,"Tonight on NEWFOXNEWSTV:

8:00  Miami ICE
9:00  Law &amp; Order: We’re the Victims Unit
10:00 The Simpsons Except For L… https://t.co/EKoEODYavn"
79,286,31,"She disregards my idea about giving teachers jet packs piloted by those door-opening robo-dogs, But… https://t.co/oitj3DyEoj"
80,12449,1292,"I would buy her ice cream
every day forever https://t.co/kIvicHgXgA"
81,1190,280,Unbelievable. Trump is straight up counterattacking the Parkland student movement. The listening session is to just… https://t.co/Onew6hszK1
82,4358,2091,ONE VOTE AT A TIME is filming free ads for candidates across the country who are ANTI-NRA and PRO-CHOICE - &amp; who do… https://t.co/ZFMAAow5PK
83,486,52,“seem far-fetched”? Jesus NYT u got an amazing-ass dog if it can fetch that far https://t.co/bbQjTUSSws
84,717,89,This makes me unaccountably happy https://t.co/Pz2nBglrRB
85,352,102,"Today! Not tomorrow like some idiot retweeted, TODAY! https://t.co/APvcsvkgKz"
86,1535,318,Signage #VoteThemOut https://t.co/NaSrYWFAjI
87,1295,143,"A lot of gentle, angry, motivated people gathered today to remind our NRA-owned representatives that we are going t… https://t.co/PKQkb6N1bW"
88,1394,268,Angelinos: come out to Pershing Square tomorrow at 11 for the PEOPLE’S RALLY AGAINST GUN VIOLENCE. If you’re as ang… https://t.co/jHo8MbGTSa
89,120,4,@FilmCritHULK It didn’t even click that the title refers to both characters. Erik’s not “Red Panther” or even “Reve… https://t.co/NhllNxWYzi
90,38,0,@MovieMan995 @CinemaPtweeto Saw a rough cut (all storyboards). It was delightful. Crushing not to have it carried through
91,1859,203,I cannot read the last sentence of this without picturing him twirling in a taffeta gown https://t.co/g4lpYMGU6m
92,38,2,"@jennifercochis @hasanfoster Whit Stillman’s “Metropolitan”, obviously"
93,680,165,"ICE is trump’s SS. They are the shame of our nation (I know, there’s lots, I picked one). How do we stop them? How… https://t.co/pEKWc2w6lT"
94,365,39,https://t.co/pKLdML4ZpB
95,1280,277,"What’s up, guys? Anything going on that we definitely shouldn’t politicize? #EndGunViolence #AmendTheAmendment… https://t.co/GTAJAqjkGK"
96,378,15,"@joshgad You could feel it at the premiere, right? Before, during, after - the movie’s just a cultural milestone. B… https://t.co/YtNmKLfeh4"
97,629,115,"Yes, this is the film you need to see. No, it’s not 50 Shades. https://t.co/NyhdVqpCcg"
98,15,3,@HIDEO_KOJIMA_EN @41Strange It’s so good. Cassavettes and Irving both riveting. And john Williams just CELEBRATING that ending!
99,937,119,"YODA IN COURT: No, out of order YOU are! 
Why... why laughing is everyone?"
100,115,11,My good right arm! (is on the monitor next to my producer). Here’s what the immeasurable @jennifercochis was busy p… https://t.co/eCq3n7tcrH
101,201,17,"@OakSmash FIREMAN DEAN MILLER
I NEED NO INTRODUCTION 
WHEN YOU KNOCK ME DOWN 
I’M LIKE DUDE WHY ARE YOU - I’M CLEAR… https://t.co/vWOm4kSVYZ"
102,1525,115,"Raise a flask to a master of the craft. 
Ricky, don’t EVER lose that number. https://t.co/1Xdtg8uuRR"
103,2452,199,"In The Cloverfield Paradox, all the rules of known physics are twisted except the One Immutable Principal: Chris O’… https://t.co/ub1nWjEeOQ"
104,18,1,"@lorrainecink “We all need
A love resurrection
Just a little warm injection”
-Alison Moyet"
105,15,0,@emilynussbaum You should listen to Peter Gabriel’s boss cover of this on Scratch My Back - you may hate it but it… https://t.co/d8G4f56I0v
106,4008,649,I don’t know where to begin with Black Panther. Ryan Coogler &amp; Marvel got it SO RIGHT - the landscape has CHANGED.… https://t.co/3mbF4f7tnA
107,11,0,@HalleKiefer I’m not sure the filmmakers can argue that you’re wrong tho
108,330,25,"but, let her sing tho https://t.co/kNAvmOiI7s"
109,11,0,@jennifercochis You are a TITAN
110,2523,141,"Hey Ma, I made it https://t.co/RHQ3WiqyZX"
111,1210,101,Very excited for Oscar’s Broadcast! I liked Jordan Peals “GO AWAY” and the one where Tom Hanks is earnest. “There W… https://t.co/hyRyWqbIPi
112,486,27,so disappointing to realize that HAMILTON was a eulogy
113,732,132,Just when you think we’ll survive him... (jk no one thinks that) https://t.co/Mb63zUtsaj
114,1793,312,"End of twilight zone episode:

Patty runs up just as Michael is about to enter the trump rally...

PATTY: Michael w… https://t.co/uuQGjp6pQO"
115,774,93,"Trump’s favorite movie is West Side Story.

He’s afraid of sharks.

OOHHH... #fourmonthswithoutpower https://t.co/XexdXpSBZ8"
116,16,0,@HaleyMancini Shan Yu hotter tho
117,696,261,"Bustin’ this puppy out again, for obvious reasons BESIDES Chris Pine’s legendary performance 
 https://t.co/12bv5nxfwr via @youtube"
118,3,0,"@_ElizabethMay Hmm, the stakes have changed... time for a PRAISE OFF!"
119,481,76,This is more important than WHATEVER YOURE DOING. Put down that cancer research and ENJOY THIS NOW HERE https://t.co/iiDNDmk6ZR
120,534,49,FUN FACT: Daniel Day-Lewis retired from acting because he saw @michaelianblack in the Mister Peepers supercut and r… https://t.co/mdcLvFaL7S
121,31,18,@rikilindhome @michaelianblack Aspiring ACTORS! Would you like to be scammed out of what little money you have? The… https://t.co/4BphOPbEzp
122,10,0,@charles_gaba @emilynussbaum My favorite one. Really wish it weren’t so topical. Also: 40??? 🔚🔜
123,90,3,The best thing anyone has ever said about me *sniff* https://t.co/i0mRoQrgON
124,587,101,"I learned of her from Randy Shilts’ “And The Band Played On. “ A straight up hero.  If there isn’t a heaven, she’ll… https://t.co/J6pZQ69ZG4"
125,1371,221,"“Vell, Doktor King, now zat I haff you trapped in my marble cage, perhaps you vould like to hear my plen to destroy… https://t.co/aDyclKBrjL"
126,517,65,"“What? We’re exactly the same! He hated the poverties too.”
“The... poverties?”
“And he KNEW a lot of them! Can you… https://t.co/wj2jpi5UFK"
127,1150,141,This is the final clue to open the gate to defeat the dragon to find the treasure! (The treasure is having a countr… https://t.co/XwIDIcC6uD
128,7,1,"@kibblesmith @JenAshleyWright “Run Bartertown I do, yes, hmmm”"
129,26,0,"@kibblesmith @JenAshleyWright Neither interpretation really affects the way story works, so I say agree to disagree… https://t.co/HV8wrnvobc"
130,1385,246,https://t.co/ETafKYYXnM
131,86,2,"@JenAshleyWright But it was a quick way of not making the entire episode about rape, and keeping it in the realm of power abuse"
132,11,0,@JenAshleyWright It did not.
133,16,0,"@emilynussbaum This one point is as key as anything I’ve read about him. 

I’m thinking his favorite song was “born… https://t.co/bbAXI5O10c"
134,2260,330,"Trump: shithole countries

Cotton: he said shinmole gumbies 

Huck-Sanders: ship orc gun sneeze

Da Mook: so brah s… https://t.co/Koeq7BIzIN"
135,1986,256,"Betsy DeVos teaching abstinence:

Children, if you have sex, bears. Don’t have bears. I was raised in a money pond… https://t.co/GvbFBzdGT9"
136,5,0,@ihatealexd And the 11th hour number is just old age
137,237,7,"@vornietom In my highschool no one did stupid dares, we did a shit ton of acid like god intended"
138,28,0,"@ihatealexd Also, I think I’d have a line here?"
139,45,0,"@DanaSchwartzzz Was just pondering Hannibal Lector.  I mean, long odds there unless he was teased in school?"
140,27,0,@adambvary Live &amp; Let Die
141,8,0,"@Theremina I love this but I’m fixated on that square behind them - one of the earliest uses of “brownscreen”, wher… https://t.co/PO7deUozWQ"
142,173,14,"“Oblivion”, “Birdman”... she’s the best thing in most things https://t.co/3YLbiKu5dO"
143,139,1,@JMN Also the poor kid on the left probably thinks he’s “going steady” with his LEGO millennium falcon
144,3479,471,I would see the shit out of this. I’d add Helen Mirren from Prime Suspect and Sir Digby Chicken Caesar tho https://t.co/Py5BEmuMFm
145,156,11,@OnePerfectShot Cool! Finally! I’m not even jealous! *continues peeling skin off with potato peeler*
146,23,0,@kibblesmith @JenAshleyWright I love plagues! I am often compared to one. BOUGHT!
147,846,131,"“Also, we’re outlawing collusion, lusting after your own daughter, and McDonalds” https://t.co/0ZdybLnPhK"
148,666,58,"After years of seeing valid points and causes diffused, diverted and erased by the “but what about this other simil… https://t.co/ro95ZmK5aj"
149,17,0,@jowrotethis .......or.... maybe will....?
150,44,0,@jowrotethis If you knew how many times people have bashed me using this stock photo https://t.co/QiqEkBrWVV
151,8,2,"@LynzMUA I remember Andy saying, Joss, she’s terrible, a nightmare person, please sign this so I don’t have to buy… https://t.co/wo9Phwc1V1"
152,2762,314,I don’t think I realized what a handsome woman Amy Adams is #everydaysexism https://t.co/7JaRt5jy23
153,303,47,"Yeah, this cracks a narrative I didn’t realize I’d internalized. Great, occasionally harrowing. (Thanks… https://t.co/VQuK8aawdW"
154,22,1,@SamGrittner Cardinal Farmhouse
155,192,20,Nick Holland’s arrogance and ignorance makes cartoon steam come out of my ears. What Lily Cole has done as a “socia… https://t.co/Ozlfuip8ZD
156,782,73,Trump’s dog tweets feel like he’s playing mad-libs and only knows one noun
157,205,3,@clarkgregg Hmmm... haven’t lost me yet...
158,1012,77,Anyone who saw CHOKE or TRUST ME knows how @clarkgregg can bring it. Rest of you will find out https://t.co/bucsMMrs94
159,7,0,@meakoopa in case you haven’t seen this... https://t.co/E0nzXH5h7K
160,11,0,@jessphoenix2018 What? And upset the GOPs fine tradition of graftihood?
161,272,70,"This thread by @jessphoenix2018 is very useful, also bonus points for reintroducing the word “hardihood” https://t.co/DblcDFuxiU"
162,8,1,"@MiaFarrow ❤️Happy new year to you! I just saw this so the year is slightly less new and already appalling, but I’m… https://t.co/9M0vHIncvl"
163,200,8,"SHIT WAIT Aimee Mann, Eurythmics, Rickie Lee Jones, Everything But the Girl, Tsuji Ayano https://t.co/uYvESKYe4x"
164,123,5,"Kate Bush, Nanci Griffith, the Roches, Emily Hearn, Jenny Lewis https://t.co/uYvESKYe4x"
165,253,29,"(*to the tune of “What’s Going On” by Marvin Gaye:)
FFFFFFUUUUUUUUUUUUUUUUUUUUUUUUUUCCCCCKKKKK https://t.co/5AUrxF7nIS"
166,402,33,This has come up in my timeline 17 times and every time I think it’s a dildo #isitjustme… https://t.co/eur77PSaiM
167,46,1,@behindyourback #NotAllOldWhiteDrunks
168,445,41,"When the world is going mad, turn to the man who remembers it always was. @warrenellis starting my 2018 just fucken… https://t.co/ARjAs75Azy"
169,78,0,@Chris_Meloni Fagin
170,846,34,@azalben Here lies Joss Whedon. He was a little nervous about the first week of the year and he had to get back to work.
171,118,8,"Molly’s Game. (IS she, tho? #thoughtPROVOKED) https://t.co/HyDltLXKGs"
172,157,11,"Thanks all! These aren’t it. It was recorded in the early 70s with Paul Dooley, Pam Webber and Jim Thurman for a fi… https://t.co/GCWQ43Mm8J"
173,544,78,"If anyone has an old read-along cassette of “Are You My Mother” (the bird not the Bechdel), I’m interested in getti… https://t.co/yZzglhAGZD"
174,35,0,@ihatealexd Ima glitter more
175,390,17,I made my way through this year - and through twitter - by finding the Valley Where the Sane Meets the Funny and th… https://t.co/RkXlPZMoOc
176,478,28,The new year will bring her to work and she can get the money to pay for her car. https://t.co/UijjP8dqYd
177,981,101,"Conservatives boycotting California wine? MY HOUR IS AT HAND. I shall drink my way to GLORY, for the good of the LA… https://t.co/5Fri6wrBcj"
178,831,74,This really was like watching it again😂😱 https://t.co/abiwYknrX3
179,15,0,@Ruby_Stevens Although I’m leery of this “gorgeous actor who can also write well” trend. Where does that leave me?… https://t.co/pUCYhGXKiv
180,7,0,@Ruby_Stevens HE WROTE STOKER?!?! I’ve been loving him as captain cold - has a flair for dramatic dryness that is c… https://t.co/FcQQV6EDjX
181,131,10,"1: Bob Fosse, hopefully when he’s directing “Everything Old is New Again” from ALL THAT JAZZ
2: Robert Hunter, hope… https://t.co/qiCfeWbaV2"
182,2760,247,"We’re not just saying “Merry Christmas” again, we’re STILL saying it. We’re ALWAYS saying it. Arbor Day? Fuck you, you’re Christmas now"
183,35,0,@ihatealexd I was JUST wishing to be the friction in your jeans!
184,48,0,@jennifercochis Is it bad that I know exactly what Keanu says before he bites that donut? Also yah me too
185,345,16,🙁 https://t.co/HPgXPwLXJj
186,373,1,@AlannaBennett @jonnysun  https://t.co/kCveUG3pHl
187,153,6,@rianjohnson On the directors commentary can you explain how you got Matthew Sharp to stop cracking jokes long enough to say his line?
188,169,2,@NickKocher Bathing violates the writer’s code tho
189,1154,50,The way we get through years like this is through creating little miracles. @tomlenk made a beautiful Laurie Metcal… https://t.co/c0kNDNYlX4
190,782,55,If only she were cool in some way... https://t.co/kyic8WO8X1
191,106,3,@DanaSchwartzzz Pilot razor point. For 20 years.
192,118,5,@kumailn Happy to see “Cannibal! The Musical” in the mix. Personal fave.
193,16,1,"@ihatealexd So, as many times as Siobhan plans to see it?"
194,221,26,"I’ll just be over here playing “Like Home” on repeat till 2019, you guys have fun (srsly, if u need to b inspired/r… https://t.co/Ej84lZyowj"
195,133,8,@sinKEVitch His work is as important to the MCU as anyone’s
196,1796,240,"Honestly can’t believe they cut this scene from Last Jedi, it’s magnificent https://t.co/p9WDQvuYQL"
197,3637,568,"*Trump takes office *
I miss Obama
*tax plan passes*
I miss George III"
198,372,62,Fuckity fuck fuck FUCKo https://t.co/ICuPyEPAQh
199,8626,1188,"History will remember President Obama as better than he was because of YOU, @realDonaldTrump. Your desperate need t… https://t.co/JZGQDdsUb0"
200,629,106,not pictured: the blood on his hands https://t.co/qXFiXuAAl6
201,527,52,"Spielberg’s obsession with the banal physicality of the 60’s news era (pay phones, printing presses, copiers) is a… https://t.co/XLTVjoTTTu"
202,1044,81,"A sequel to Planes, Trains and Automobiles with Steve Martin and Liam Neeson where shit goes SERIOUSLY south every… https://t.co/wUxtcoTHN0"
203,3091,360,I need a find-my-phone app but for everything I have ever owned or touched or maybe am currently wearing
204,742,60,I am beautiful https://t.co/6gl6l9IqS0
205,4789,863,Ooh! Quirrell took his turban off! https://t.co/2RhOCxymtH
206,663,114,"Transgender fetus science-based evidence-based vulnerable entitlement and diversity. George, we need you back.… https://t.co/7QFLFm8bA5"
207,217,12,"@benverlys @mattreevesLA It’s indelible. And so simple. Giacchino in top form, in a film that gives him room"
208,1031,234,This is double plus ungood https://t.co/X3z0oFtKpq
209,2703,315,"Why is Trump is so bad at nicknames? Crooked? 🙄 Look, It’s easy:

Lyin’ Ryan

Mitch the Bitch

Jeff “oh GOD I wanna… https://t.co/CFbTh6btn8"
210,1520,354,The republicans in power know their time is almost up and they are straight up LOOTING #TaxScam #NetNeutering #BearsEars
211,392,64,"I wanted nothing to do with this, but I was visited by three ghosts AGAIN (Ghost of Christmas Past, of the Present,… https://t.co/dtXuNnFGta"
212,3553,696,"People are either thrilled we won or despondent we almost didn’t. Hold on to BOTH these feelings.

EVERY RACE IN 20… https://t.co/9NSyFGwwba"
213,1,0,@mister_bourbon @Autism I actually your actually: Sinatra must have recorded it both ways. On my album he does the Judy lyrics.
214,813,147,"Doug Jones is ahead in the polls! Just like President Hillary was! We’re not f***ed! #VOTE

(Also, if you hashtag “… https://t.co/HgbRhjdgrE"
215,956,189,"The election tomorrow is where we say “we can do better”, or say we’re fine with dismantling America. 

If you supp… https://t.co/ByAHojxcPY"
216,257,39,"News: this is the best ever Christmas song. (2nd Place: Sinatra’s Have Yourself a Merry etc w/the great, depressing… https://t.co/MFvwHq3N69"
217,405,43,"Jar Jar beat out Mace Windu? OOH I’d like to be near @SamuelLJackson when he finds out... (Also, why does my phone… https://t.co/nCt5bdzvDH"
218,323,54,"This piece is brilliant. Required reading for everyone involved in making children’s entertainment, and useful for… https://t.co/0rkyYFyKmF"
219,368,83,@emilynussbaum (I stuck it in JL too)
220,20,2,@BBW_BFF Yeah cuz cap can’t go home just like *sob* Ethan Edwards
221,48,1,@BBW_BFF Totes stole it for Cap in Age of Ultron too...
222,1839,196,Current mood/evergreen tweet https://t.co/5ldh7nZhXK
223,2474,196,"If you’ve managed co-running ONE HUNDRED episodes of S.H.I.E.L.D., fighting lupus, AND marrying into my family, you… https://t.co/RqvHudz0xg"
224,286,69,This is so good. @PennyRed writes about anxiety with such cogent wit she briefly makes it go away  https://t.co/dyVpwlSxDb
225,70,3,"@Ruby_Stevens “This fortress was not built to keep something....

                                           ...out… https://t.co/5rcwRnHU1R"
226,320,47,Props to @SamGrittner for putting #InternationalMensDay to good use: https://t.co/r4sGdFQ4PA
227,291,33,"To be clear, JILL SOBULE is making a record. I️ am among many backers cuz she’s the BIZ. (Houdini’s Box, Karen by N… https://t.co/ctlfRvbeFW"
228,163,34,"I'm making my first record in 9 years. I'm back &amp; I mean it.

 https://t.co/g3tdT0ivOF, via Kickstarter"
229,798,51,"Can we still do this on twitter?

William Hootkins. Never not great. ⭐️ https://t.co/HtZuAM0FQF"
230,57,3,"@Ruby_Stevens NIGHTBREED, ffs!"
231,383,49,Already better than Sessions... https://t.co/CQE1FQl1iz
232,1688,193,I’m sad the dark universe isn’t going. Frankenstein v Wolfman floored me as a kid. And I kind of liked the new Mumm… https://t.co/ShLzbpk2u3
233,675,93,This is such a bullseye https://t.co/puLtvzDshx
234,1470,204,yes please okay yes https://t.co/NmXYHcKHU6
235,1004,109,The Dems took our seats and WE WERE SITTING THERE and everyone was mean and I’m a STRONG precedent so ima WAR at you https://t.co/jW6diXTzhD
236,1715,403,"Amidst all, a joyful shout-out to film-maker Sarah Ullman and One Vote At a Time: built an all female crew (75% WoC… https://t.co/nH6JGArACL"
237,390,60,"ALIENS: You humans are destructive wretches. Why should we not wipe you from the galaxy?

HUMANS: Cher did this onc… https://t.co/cyiI9vbBlZ"
238,1393,206,Rotten Tomatoes 50 best superhero movies list is a SHAM. This should be WAY higher up #SIDEKICK https://t.co/vV2yRnJR3V
239,3304,120,"Ugh, guys, you got hope on my cynical despair! That shit doesn’t wash out @pattonoswalt https://t.co/JSF9OLxkW7"
240,1520,174,We cannot have a civil war in this country until every man of fighting age has had time to grow awesome weird-ass f… https://t.co/MGXkTqIMAR
241,402,26,I️ think this glitch was put in so we would stop using “I️” in so many sentences. Think about others! I️ know I️ will and I️ hope one day I️
242,76,1,@cher Judaism!
243,26,1,@libby_deleon Well I’m out a free Denny’s grand slam so I say go wild #despair
244,1754,258,Seconded. This needs to be remembered. https://t.co/XjjFWT50qa
245,128,13,Celebrating @equalitynow’s 25th at #MakeEqualityReality. Follow the night on FAcebook live: https://t.co/Y1rNnRZfIU #EqualityNow25 #fancy
246,274,20,"Rehearsing for the @equalitynow 25th anniversary with vicious_psi_steppers - so fierce, so fun #equalitynow #step https://t.co/a4LL6yjBPk"
247,575,68,The part of “Hillary” will be played by the woman in the orange cap https://t.co/kMa6G5ZZOk
248,30,0,"@sinKEVitch Did a final paper for a film class on American Flagg. Such a rich text, parodying/exalting western film… https://t.co/LO8aNQs9WA"
